Inv_Year_ID,Province_ID,EF_Category_ID,EF_Category_Name,Population_EF_Category,Population,CH4_Emissions_EF_Category_GgYear,CH4_Emissions_MM_Category,EF_MT_CO2e,MM_MTCO2e,
2004,NS,11,Mules and Asses,0.1518,0.1518,0.001518,0.000115368,0.000042504,3.2303E-06,
2004,NS,12,Deer,0.305,0.305,0.0061,0.0000671,0.0001708,1.8788E-06,
2004,NS,13,Elk,0.0428,0.0428,0.000856,0.000009416,0.000023968,2.63648E-07,
2004,NS,14,Wild boars,0.303466667,0.303466667,0.0004552,0.000170986,1.27456E-05,4.78761E-06,
2004,NS,15,Rabbit,0.079259656,0.079259656,0,6.34077E-06,0,1.77542E-07,
2004,NS,16,Mink,192,192,0,0.13056,0,0.00365568,
2004,NS,17,Fox,0.64,0.64,0,0.0004352,0,1.21856E-05,
2004,ON,1,Dairy Cattle,352,352,46.01650762,8.842226539,1.288462213,0.247582343,
2004,ON,2,Non-Dairy Cattle,1800.7,1800.7,112.3110929,8.201400853,3.144710601,0.229639224,
2004,ON,3,Sheep and Lamb,305,305,2.44,0.08853611,0.06832,0.002479011,
2004,ON,4,Goat,70.5924,70.5924,0.352962,0.022298752,0.009882936,0.000624365,
2004,ON,5,Buffalo,3.9656,3.9656,0.218108,0.012574221,0.006107024,0.000352078,
2004,ON,6,Horse,91.7058,91.7058,1.6507044,0.238849241,0.046219723,0.006687779,
2004,ON,7,Llama and alpaca,3.6208,3.6208,0.0289664,0.001207281,0.000811059,3.38039E-05,
2004,ON,8,Swine,3803.975,3803.975,5.7059625,18.93068179,0.15976695,0.53005909,
2004,ON,9,Poultry,47405.6384,47405.6384,0,1.600073339,0,0.044802053,
2004,ON,11,Mules and Asses,2.4524,2.4524,0.024524,0.001863824,0.000686672,5.21871E-05,
2004,ON,12,Deer,10.6042,10.6042,0.212084,0.002332924,0.005938352,6.53219E-05,
2004,ON,13,Elk,4.4908,4.4908,0.089816,0.000987976,0.002514848,2.76633E-05,
2004,ON,14,Wild boars,1.2032,1.2032,0.0018048,0.000677935,5.05344E-05,1.89822E-05,
2004,ON,15,Rabbit,12.03691013,12.03691013,0,0.000962953,0,2.69627E-05,
2004,ON,16,Mink,78.4,78.4,0,0.053312,0,0.001492736,
2004,ON,17,Fox,0.44,0.44,0,0.0002992,0,8.3776E-06,
2004,PE,1,Dairy Cattle,14,14,1.658360216,0.21218085,0.046434086,0.005941064,
2004,PE,2,Non-Dairy Cattle,71,71,3.374828053,0.178723332,0.094495185,0.005004253,
2004,PE,3,Sheep and Lamb,3.65,3.65,0.0292,0.001022987,0.0008176,2.86436E-05,
2004,PE,4,Goat,0.267,0.267,0.001335,8.43401E-05,0.00003738,2.36152E-06,
2004,PE,5,Buffalo,0.086,0.086,0.00473,0.000197423,0.00013244,5.52785E-06,
2004,PE,6,Horse,1.7786,1.7786,0.0320148,0.004632392,0.000896414,0.000129707,
