Livestock,Animal (2006),Animal (2021)
Beef Cattle,"12,560,500","9,603,800"
Dairy Cattle,"2,094,600","1,911,200"
Swine,"15,043,132","14,568,669"
Poultry,"133,006,178","158,383,356"
Horse,"453,965","183,733"
Sheep,"1,142,877","1,052,365"
,,
,,
,,
